document_id,challenge,user,ID,value
0wEGtqTfzJSCfrItrAyVAiN5LTh2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0wEGtqTfzJSCfrItrAyVAiN5LTh2,5,Ninguno 
0yg6hHn3qkh3RNi5TURSf5jvmhc2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0yg6hHn3qkh3RNi5TURSf5jvmhc2,4,GUSTAVO PETRO
0yg6hHn3qkh3RNi5TURSf5jvmhc2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,0yg6hHn3qkh3RNi5TURSf5jvmhc2,5,JUAN DIEGO ALVIRA
15lSuOPjDQSJzSSmd9tt7EQDgae2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,15lSuOPjDQSJzSSmd9tt7EQDgae2,4,NINGUNO
15lSuOPjDQSJzSSmd9tt7EQDgae2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,15lSuOPjDQSJzSSmd9tt7EQDgae2,5,NINGUNO
16bRquo8IXfw0PmoAvugjfF4qch1wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,16bRquo8IXfw0PmoAvugjfF4qch1,4,Gusto Petro
16bRquo8IXfw0PmoAvugjfF4qch1wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,16bRquo8IXfw0PmoAvugjfF4qch1,5,Mabel Lara 
1JUiGffcPOVzskHBdy0jyuR4uMN2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1JUiGffcPOVzskHBdy0jyuR4uMN2,4,NINGUNO
1JUiGffcPOVzskHBdy0jyuR4uMN2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1JUiGffcPOVzskHBdy0jyuR4uMN2,5,NO CONOZCO
1NgpYgavwWPy79tEO8C8OygNZaS2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1NgpYgavwWPy79tEO8C8OygNZaS2,4,FAJARDO
1NgpYgavwWPy79tEO8C8OygNZaS2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1NgpYgavwWPy79tEO8C8OygNZaS2,5,NINGUNO
1QD7r6YCtzR0ZbLQinBqcQOwOlm1wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1QD7r6YCtzR0ZbLQinBqcQOwOlm1,4,RODOLFO HERNÁNDEZ 
1QD7r6YCtzR0ZbLQinBqcQOwOlm1wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1QD7r6YCtzR0ZbLQinBqcQOwOlm1,5,RODOLFO HERNÁNDEZ 
1dv3HPa0kiXaAgr2CcYEp7nSVJv2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1dv3HPa0kiXaAgr2CcYEp7nSVJv2,4,ALEJANDRO GAVIRIA 
1dv3HPa0kiXaAgr2CcYEp7nSVJv2wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1dv3HPa0kiXaAgr2CcYEp7nSVJv2,5,JUAN DIEGO ALVIRA
1f1LWH4ET5TmhRQjgArtgGmh66J3wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1f1LWH4ET5TmhRQjgArtgGmh66J3,4,ALBARO URIBE
1f1LWH4ET5TmhRQjgArtgGmh66J3wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1f1LWH4ET5TmhRQjgArtgGmh66J3,5,No lo se
1hVopWS5KAPxQEJcnRc3L8AjjTD3wEhMVslVv1fVPILHe6Om,wEhMVslVv1fVPILHe6Om,1hVopWS5KAPxQEJcnRc3L8AjjTD3,4,NINGUNO
